term,kana,meaning
ありのまま,ありのまま,据实，如实，实事求是
ありのまま,ありのまま,如实，据实，实事求是
ありふれた,ありふれた,常见的，不稀奇的
あります,あります,举行（节庆）［おまつりが～］［お祭りが～］
あり方,ありかた,应有的状态，理想的状态
ある,ある,接续词 某，某个
あるいは,あるいは,接续词 或者，或
ある程度,あるていど,惯用语 某种程度，一定程度
あれ,あれ,那（事物在远方）
あれくらい/あれぐらい,,那么，那种程度
あれこれ,あれこれ,名词 这个那个，种种
あれだけ,あれだけ,那种程度，那样
あれほど,あれほど,那样，那么
あれ？,,什么？（表示惊讶）
あわただしい,あわただしい,形容动词 忙乱，急忙，慌忙，慌张
あんな,あんな,连接词 那样，那种
あんなに,あんなに,那么，那样地
あんまり,あんまり,太，过分
あんパン,あんパン,名词 豆沙面包
いい,いい,好（咖啡）［コーヒーが～］
いいえ,いいえ,不，不是
いいかげん,いいかげん,形容动词 马马虎虎．不正经；恰当
いいですね。,,好呀。
いいですよ。,,好呀。／可以呀。
いい値段,いいねだん,好价钱，昂贵的价钱
いい加減,いいかげん,合适的，适当的；敷衍的，搪塞的
いい（よい）,,好
いかが,いかが,怎么样，怎么办
いかなる,いかなる,如何的，怎样的
いかに,いかに,怎样，怎么
いかにも,いかにも,的确，确实；实在，真的；果然
いきいき,いきいき,副词 栩栩如生，生动；生气勃勃
いきなり,いきなり,副词 突然，冷不防
いくつ,いくつ,几个
いくつか,いくつか,若干，几个
いくら,いくら,多少钱
いくら~ても/いかに~ても,,逆接
いくらか,いくらか,稍微，一些，一点儿
いくらなんでも,いくらなんでも,无论怎么，即使⋯⋯也⋯⋯
いくら［～ても］,,无论～也，怎么～也
いくら～ても,いくら～ても,惯用语 不管怎么也…也，无论怎么…都
いささか,いささか,稍微，有些，一点儿
いざ,いざ,喂，哎；一旦
いざという時,いざというとき,紧要关头，危急时刻
いざとなると/いざとなれば/いざとなったら,,一到关键时刻；一旦发生问题，一旦情况紧急
いじめる,いじめる,虐待，欺凌
いす,いす,椅子
いずれ,いずれ,副词 早晚，反正
いずれにしても,いずれにしても,反正，总之
いずれにせよ,いずれにせよ,反正，总之
いずれも,いずれも,无论是谁，全都
いそいそ,いそいそ,兴高采烈地，欢欣雀跃地
いただく,いただく,领受，得到；吃喝
いちいち,いちいち,逐个
いちばん～,,最～（いちばんうえ：最上面，最高)
いっしょに,いっしょに,一起
いっそ,いっそ,索性，干脆
いっそう,いっそう,更加，越发
いったい,いったい,副词 到底，究竟
いっぱい,いっぱい,充满；全部
いつ,いつ,什么时候
いつか,いつか,不知不觉；迟早，总有一天；曾经
いつからか,いつからか,不知从何时起
いつでも,いつでも,无论什么时候，随时
いつとなく,いつとなく,不知不觉，说不上什么时候
いつの間にか,いつのまにか,不知不觉中
いつまでも,いつまでも,副词 永远，始终，到什么时候也
いつも,いつも,总是
いつ～ますか,,いつ [动]ますか いつ：何时？ 不能加“に” 询问具体时间：“何時に”
いとこ,いとこ,名词 (党/表)兄弟，(党/表)姐妹
いなり寿司,いなりずし,名词 油豆腐寿司
いまいち,いまいち,差一点儿，再加把劲儿
います,います,在〔日本〕［にほんに～］［日本に～］
いや,いや,感叹词 不；哎呀
いやいや,いやいや,摇头，不乐意；不情愿地，勉强地
いやし,いやし,名词 安慰，享受；医治，治疗
いやす,いやす,动1 医治，治疗
いやというほど,いやというほど,厌烦，腻烦
いやに,いやに,特别，非常，过于
いよいよ,いよいよ,终于
いらいら,いらいら,焦急，烦躁
いらっしゃいませ。,,欢迎光临（商店、行号在顾客光临时用）
いらっしゃる,いらっしゃる,（尊他语）来；去；在
いる,いる,（人、动物）有；存在
いれます,いれます,冲，泡〔咖啡〕［コーヒーを～］
いろいろ〔な〕,,各式各样〔的〕
いろんな,いろんな,各种各样
いわゆる,いわゆる,连接词 所谓的
ううん,ううん,不对（不如いいえ礼貌）
うがい,うがい,名词 漱（口）
うきうき,うきうき,高兴，兴奋，喜不自禁
うしろ,うしろ,后，后面
うそ,うそ,名词 谎言，假话
うち,うち,名词 之中，当中
うっかり,うっかり,不留神，不小心
うっすり,うっすり,（颜色）淡淡地；（厚度）薄薄地
うっとうしい,うっとうしい,郁闷的，阴郁的；不痛快的
うっとり,うっとり,发呆，出神；入迷，陶醉
うつ伏せ,うつぶせ,脸朝下俯卧；东西倒扣
うつ病,うつびょう,抑郁症
うとうと,うとうと,迷迷糊糊
うなずく,うなずく,动1 点头
うなずく,うなずく,点头，首肯
うぬぼれる,うぬぼれる,自负，骄傲自大
うねうね,うねうね,蜿蜒起伏，弯弯曲曲
うまい,うまい,好吃的；高明的；擅长的
うようよ,うようよ,聚在一起蠕动
うらやましい,うらやましい,形容词 羡慕，眼红
うるさい,うるさい,吵闹的；厌烦的；爱唠叨的
うろうろ,うろうろ,徘徊，转来转去
うん,うん,对（不如はい礼貌）
うんざり,うんざり,厌倦，厌烦，腻烦
え―と,,嗯，我看看
ええ,ええ,是，嗯（表赞同）
えさ,えさ,名词 饵料，饵食；诱饵
お/ご~いたす,,自谦语「お～する」+郑重语「いたす」
お/ご~いただく,,「ていただく」的礼貌表达
お/ご~ください,,“～てください”的敬语形式 \nお＋[动1]／动2连用形]＋ください \nご＋[动3的汉字部分]＋ください \n“お入りください”比“入ってください”礼貌程度高。 \n连用形只有一个音节的动词不能用于这种形式。
お/ご~します,,お＋[动1]／[动2连用形]＋する　 \nご＋[动3的汉字部分]+する \n连用形只有一个音节的动词不能用于这种形式。
お/ご~になります,,お＋[动1／动2连用形]＋になる\nご＋[动3的汉字部分]+になる  \n连用形只有一个音节的动词不能用于这种形式。
お/ご~申し上げる,,自谦
お~しております,,自谦
おいおい,おいおい,喂喂；哇哇大哭
おいしい,おいしい,好吃的，美味的
おいで,おいで,（尊他语）来；去；在
おお,おお,感叹词 哎呀，啊
おおきに,おおきに,惯用语 谢谢，多谢（大阪方言）
おおざっぱ,おおざっぱ,形容动词 粗枝大叶，粗心大意，草率；大概，概略
おおざっぱ,おおざっぱ,粗枝大叶的；粗略的；粗心大意的
おおまか,おおまか,粗枝大叶的；粗略的，马马虎虎的
おおよそ,おおよそ,大概
おおらか,おおらか,落落大方的，豁达的，胸襟开阔的
おかげ,おかげ,幸亏，托……的福
おかげさまで,おかげさまで,托您的福（略带感谢意思的客气说法）
おかしい,おかしい,可笑的；反常的，奇怪的
おかず,おかず,名词 菜，菜肴
おごる,おごる,动1 请客，做东；奢华
おさらい,おさらい,复习，温习；排练
おしっこ,おしっこ,撒尿，小便
おしぼり,おしぼり,名词 湿巾
おしゃべり,おしゃべり,形容动词 爱说的人；好说话，健谈
おしゃれする,おしゃれする,动3 打扮，装饰
おじいさん／おじいちゃん,,祖父，老爷爷
おじさん,おじさん,名词 大爷，大叔；伯伯，叔叔，舅舅
おずおず,おずおず,战战兢兢，惴惴不安
おっかない,おっかない,可怕的，令人害怕的
おっちょこちょい,おっちょこちょい,轻浮，冒失
おっとり,おっとり,稳重，文静，大方
おととい,おととい,前天
おどおど,おどおど,提心吊胆，战战兢兢
おなか,おなか,肚子
おなかがいっぱいです。,,吃饱了。
おなかがすきました。,,肚子饿了。
おのおの,おのおの,各自，大家
おばあさん／おばあちゃん,,祖母，老奶奶
おばけ,おばけ,名词 鬼，妖怪
おべっか,おべっか,奉承，谄媚，恭维
おぼれる,おぼれる,动2 溺水，淹没
おまえ,おまえ,代词 你
おまけ,おまけ,名词 免费赠送赠品，另外奉送，附带
おまけ,おまけ,赠品；附加的东西
おまけに,おまけに,加之，而且
おめでたい,おめでたい,形容词 可喜可贺，值得庆贺
おめでとうございます,おめでとうございます,惯用语 恭喜，恭贺
おめでとうございます。,,恭喜。（用于生日，婚礼，新年等时）
おめにかかる（お目にかかる）拜会，见面，会见,おめにかかる,惯用语 拜会，见面，会见
おもしろい,おもしろい,有趣，有意思
おもちゃ,おもちゃ,玩具
おやつ,おやつ,名词 零食，点心，茶点
およそ,およそ,大概，大约，大体上
おれ,おれ,代词 我，咱，俺
おろそか,おろそか,形容动词 不认真，马马虎虎
おわん,おわん,名词 碗，木碗
おん～（御～）贵～,おん～,贵～
お世話になりました,おせわに2なりました,熟语 承蒙照顾
お世話になります,おせわになります,惯用语 承蒙关照
お世話様でした,おせわさまでした,惯用语 麻烦您了，承蒙帮助
お世辞,おせじ,名词 恭维话，奉承话
お久しぶりです,おひさしぶりです,熟语 好久不见
お代わり,おかわり,再来一份，再添一碗
お使い,おつかい,名词 打发出去（买东西、办事等）
お元気で,おげんきで,熟语 请多保重
お元気ですか。,おげんきですか。,你好吗？
お兄さん,おにいさん,（他人的）哥哥
お先に失礼します,おさきにしつれいします,熟语 我先走了，我先告辞了
お出かけ,おでかけ,出门
お別れ,おわかれ,名 分别，分手
お別れ会,おわかれかい,名词 欢送会
お参り,おまいり,参拜神佛
お口に合うかどうか分かりませんが,おくちにあうかどうかわかりませんが,惯用语 不知道合不合您的口味
お名前は？,おなまえは？,您贵姓？
お喋り,おしゃべり,喋喋不休（的人）；聊天
お土産,おみやげ,名 礼物
お大事に,おだいじに,熟语 请多保重
お姉さん,おねえさん,名词 姐姐
お姉ちゃん,おねえちゃん,名词 姐姐
お嬢さん,おじょうさん,令爱；小姐
お子さん,おこさん,名 您的孩子
お宅,おたく,（您）府上；宅在家里
お客さん,おきゃくさん,名 顾客，客人
お客様,おきゃくさま,名 来宾
お尻,おしり,屁股；后边
お巡りさん,おまわりさん,名词 巡警，警察
お帰りなさい,おかえりなさい,熟语 你回来了
お年寄り,おとしより,名 老年人
お年玉,おとしだま,压岁钱
お店,おみせ,名 餐馆；商店
お弁当,おべんとう,名 盒饭
お待たせしました,おまたせしました,熟语 让您久等了
お手上げ,おてあげ,束手无策，毫无办法
お手伝い,おてつだい,名 帮忙，帮助
お手伝いさん,おてつだいさん,保姆，家政人员
お手洗い,おてあらい,洗手间
お昼,おひる,名词 午饭，午餐
お札,おさつ,纸币，钞票
お正月,おしょうがつ,名 过年，新年
お母さん,おかあさん,（他人的）母亲
お気に召す,おきにめす,惯用语 中意，合意
お気の毒に,おきのどくに,惯用语 真可怜
お気をつけて,おきをつけて,熟语 小心点儿
お汁粉,おしるこ,名 年糕小豆汤
お決まり,おきまり,常规，惯例，老一套
お洒落,おしゃれ,时尚，讲究穿戴
お湯,おゆ,名 热水，开水
お父さん,おとうさん,名词 父亲，爸爸
お父様,おとうさま,名词 父亲大人
お疲れ様でした,おつかれさまでした,熟语 够累的
お疲れ様です,おつかれさまです,惯用语 您辛苦了
お皿,おさら,名 盘子
お盆,おぼん,盂兰盆节
お目にかかる,おめにかかる,熟语 拜会，见面，会见
お目にかける,おめにかける,惯用语 出示，给人看
お相撲さん,おすもうさん,名 相扑选手
お礼,おれい,感谢；回礼，酬谢
お祝い,おいわい,名词 庆贺，祝贺
お祭り,おまつり,名 祭日，节日
お節介,おせっかい,多管闲事
お粥,おかゆ,名 粥
お茶,おちゃ,茶道
お菓子,おかし,名 点心
お詫び,おわび,名词 道歉，赔罪，表示歉意
お越しいただく,おこしいただく,惯用语 敬请光临，请过来
お辞儀,おじぎ,行礼，鞠躬
お返し,おかえし,回礼；找零
お返事,おへんじ,名 回信
お邪魔しました,おじゃましました,熟语 打扰了
お邪魔します,おじゃまします,动3 打扰，拜访
お酒,おさけ,名 酒，酒类
お金,おかね,钱
お釣り,おつり,找的零钱
お開き,おひらき,名词 （婚宴）结束；散席，散会
お雛様,おひなさま,古装人偶；女儿节
お願いします,おねがいします,熟语 拜托了
お風呂,おふろ,名 澡堂，浴室
お風呂にはいります,おふろ2にはいります,熟语 洗澡
お／ご~申し上げる,お／ご～もうしあげる,恭～，敬～（自谦）
かい,かい,名词 价值，意义
かえって,かえって,副词 反倒，反而
かかります,かかります,花费（金钱或时间）
かき乱す,かきみだす,弄乱；扰乱
かき氷,かきごおり,刨冰
かき混ぜる,かきまぜる,搅拌，混合
かぎ,かぎ,钥匙
かけっこ,かけっこ,（儿童用语）赛跑
かけます,かけます,戴〔眼镜〕［めがねを～］［眼鏡を～］
かご,かご,名词 笼子，篮子，提篮
かさかさ,かさかさ,干燥，干巴巴，不湿润
かさかさ,かさかさ,干燥，干巴巴；沙沙响
かじる,かじる,咬；一知半解，稍微懂得一点
かすか,かすか,模糊的，微弱的
かぜ,かぜ,感冒
かたかな,かたかな,片假名
かたがた,かたがた,各位
かたわら,かたわら,名词 一面，一边；旁边
かっこいい,かっこいい,形容词 帅气，真帅；真棒
かっこ悪い,かっこわるい,（人、行为等）难看的
かっちり,かっちり,紧密，严实，严丝合缝
かって,かって,副词  过去，以前，曾经
かつかつ,かつかつ,好不容易，勉勉强强
かつて,かつて,副词 过去，以前，曾经
かといって,かといって,虽然⋯⋯但是⋯⋯
かなう,かなう,动1 能实现，如愿以偿
かなわない,かなわない,敌不过，比不上；吃不消，受不了
かねて,かねて,事先，早已
かばん,かばん,包
かび,かび,名词 霉，霉菌
かぶります,かぶります,戴〔帽子等〕［ぼうしを～］［帽子を～］
かまわない,かまわない,惯用语 没关系
かゆい,かゆい,形容词 痒
からかう,からかう,戏弄；嘲弄；调戏
からから,からから,哗啦哗啦响；哈哈大笑；干巴巴；空空如也
かれこれ,かれこれ,这样那样，多方；大概，差不多
かわいがる,かわいがる,动1 喜爱，疼爱
かわいがる,かわいがる,喜爱，疼爱
かわいそう,かわいそう,形容动词 可怜
かわいらしい,かわいらしい,形容词 可爱
かんかん,かんかん,副词 大发脾气，大怒；（太阳）火辣辣，（火）熊熊
か金町浄水場,かなまちじょうすいじょう,专有词 金町净水厂
がさがさ,がさがさ,粗糙，干燥；发出沙沙声
がたがた,がたがた,发抖，哆嗦，不稳，不紧
がたがた,がたがた,咔嗒咔嗒；摇摇晃晃；哆哆嗦嗦
がっかり,がっかり,失望，心灰意冷
がっかりする,がっかりする,动3 失望，灰心丧气
がっくり,がっくり,突然无力地，颓丧
がっしり,がっしり,结实；健壮；严密，紧密
がっちり,がっちり,结实，牢靠；精打细算
がぶがぶ,がぶがぶ,咕咚咕咚地喝水；胃里液体多（咕噜咕噜响）
がやがや,がやがや,喧闹，吵嚷
がらがら,がらがら,轰隆声；性格直爽；人很少，空荡荡
がらりと,がらりと,急剧变化，突然改变
がんがん,がんがん,（头疼、耳鸣）强烈；喋喋不休
きちきち,きちきち,（塞得）满满的；（时间）恰好，刚好；准确无误
きちっと,きちっと,整整齐齐；准时，如期；牢牢地
きちんと,きちんと,整齐，干净；准时；好好地
きっかけ,きっかけ,名词 机会，开端，契机
きっかり,きっかり,正，整；正好，恰好
きっちり,きっちり,正好，恰好；（大小）正合适；严实，没有空隙
きっと,きっと,一定，必定
きっぱり,きっぱり,断然，干脆
きつい,きつい,紧的；严厉的；刺激性的
きのう,きのう,昨天
きめこまか,きめこまか,（皮肤）细腻的；（做法）细致的
きゅうり,きゅうり,黄瓜
きょう,きょう,今天
きょろきょろ,きょろきょろ,东张西望
きらきら,きらきら,闪耀，耀眼
きれい,きれい,漂亮的，美丽的；干净的
きれい［な］,,美丽（的），干净（的）
ぎこちない,ぎこちない,笨拙的，生硬的
ぎっしり,ぎっしり,形容动词 满满的，紧紧的
ぎゅっと,ぎゅっと,紧紧地（勒、关闭、拉、按等）
ぎょっと,ぎょっと,吓了一跳，大吃一惊
ぎりぎり,ぎりぎり,极限，到底
くしゃくしゃ,くしゃくしゃ,皱巴巴；乱糟糟
くしゃみ,くしゃみ,名词 喷嚏
くじ,くじ,签；抽签
くじける,くじける,动2 气馁，消沉，颓丧；扭，挫伤
くすぐったい,くすぐったい,发痒的；难为情的，害羞的
くすぐる,くすぐる,使发痒；逗笑；激起，引发
くたくた,くたくた,筋疲力尽的，疲惫不堪的
くたびれる,くたびれる,疲劳；用旧，穿旧
くだくだしい,くだくだしい,麻烦的，烦琐的；啰唆的，冗长的
くだらない,くだらない,无用，无益，无聊
くっきり,くっきり,特别鲜明，清楚
くっつく,くっつく,紧粘在一起；附着；紧挨着，紧跟着
くっつける,くっつける,使靠近，使紧挨；拉拢；撮合
くどい,くどい,冗长的，啰嗦的；油腻的
くどい,くどい,啰唆的，喋喋不休的；味道浓的
くどくど,くどくど,罗嗦，絮叨
くどくど,くどくど,没完没了，絮叨，啰唆
くねくね,くねくね,弯曲，蜿蜒
くやしい,くやしい,形容词 懊恼，懊悔，遗憾
くよくよ,くよくよ,想不开，耿耿于怀
くれぐれも,くれぐれも,反复，周到，仔细
くれます,くれます,给（我）
くれる,くれる,（别人）给我或我方的人……
ぐいぐい,ぐいぐい,连续用力；使劲（喝），大口大口地（喝）
ぐずぐず,ぐずぐず,磨蹭，慢吞吞
ぐずつく,ぐずつく,磨蹭，拖延；阴天；（身体）不舒服
ぐちゃぐちゃ,ぐちゃぐちゃ,黏黏糊糊；乱七八糟；嘀嘀咕咕
ぐっしょり,ぐっしょり,湿透，淋透
ぐっすり,ぐっすり,副词 熟睡，酣睡
ぐったり,ぐったり,精疲力竭，软弱无力
ぐっと,ぐっと,使劲，一口气；更加，格外
ぐらぐら,ぐらぐら,摇晃；犹豫
ぐらつく,ぐらつく,摇晃；（想法）动摇
ぐるぐる,ぐるぐる,团团转
ぐんぐん,ぐんぐん,用力，使劲儿；很快地，突飞猛进；稳步地
けいたいしょうせつ（携帯小説）[名]手机小说,けいたいしょうせつ,名词 手机小说
けが人,けがにん,名词 受伤的人，伤员
けさ,けさ,今天早上
けしからん,けしからん,不像话，岂有此理
けち,けち,小气，吝啬
けど,けど,可是，然而
けれども,けれども,连接词 不过，可是，但是，然而
げっそり,げっそり,急剧消瘦；灰心，失望
げっぷ,げっぷ,打嗝儿
げらげら,げらげら,哈哈
げらげら,げらげら,哈哈大笑，毫无顾忌地高声大笑
こう,こう,专有词 红
こういう,こういう,这种，这样
こうした,こうした,连接词 这样的，如此的
ここ,ここ～,～近～，最近～
ここ/そこ/あそこは～です,,ここ／そこ／あそこは[名]です ここ：近称 そこ：中称 あそこ：远称 どこ：不确定地
ここのところ,ここのところ,暂时；目前，眼下
こしあん,こしあん,名词 红豆沙，豆沙馅儿
こそこそ,こそこそ,偷偷摸摸，鬼鬼祟祟
こたつ,こたつ,被炉，暖炉
こだわり,こだわり,名词 精益求精，拘泥
こだわる,こだわる,动1 拘泥
こちら,こちら,这边（“ここ”的礼貌形）
こちら/そちら/あちら/どちら,,“ここ／そこ／あそこ／どこ”的礼貌说法。
こちらは～さんです。,,这位是～先生/小姐。
こっそり,こっそり,悄悄地，蹑手蹑脚地
こっち,こっち,名词 这边，这里
こってり,こってり,副词 味浓，油腻
こつこつ,こつこつ,勤奋，孜孜不倦
ことし,ことし,今年
ことづけ,ことづけ,名词 口信，嘱托
ことづける,ことづける,动2 带口信，捎话，传话
ことによると,ことによると,可能，也许，说不定
ことはない,そんな,不会，不可能
ことば,ことば,单字，语言
ことわざ,ことわざ,名词 谚语
こどもの日,こどものひ,名 儿童节
こなす,こなす,运用自如，掌握；做完；弄碎；销售
この/その/あの～は～です,,この（近称）／その（中称）／あの（远称）　[名]は　[名]です 指示连体词
このごろ,このごろ,最近，近来
このような,このような,连接词 像这样的
この前,このまえ,熟语 前几天，之前，最近
この度,このたび,名 这次，这回
この方,このかた,以来，以后
この辺,このへん,熟语 这一带，这附近，这儿
この間,このあいだ,名词 前些天，最近
この～,,这（近己方）
こぼこぼ,こぼこぼ,比较激烈的咳嗽声
こまめ,こまめ,忠实的，诚恳的，勤恳的
こめる,こめる,动2 饱含，包括，包含；集中
こもる,こもる,动1 充满，包含
こらす,こらす,动1 绞尽脑汁，凝，集中
これ,これ,这（事物近己方）
これ/それ/あれは～です,,これ／それ／あれは　[名]です。 事物指示词：これ／それ／あれ
これから,これから,从现在起，这就
これからお世話になります,これからおせわになります4+,惯用语 往后（今后）请多费心
これほど,これほど,这样，这么
これまで,これまで,从前，过去；到这种程度；到此为止
これまで,これまで,以往，此前
これら,これら,代词 这些
ころ,ころ,名词 时候，时期
こんがり,こんがり,（烤得）恰到好处
こんこん,こんこん,比较轻微的咳嗽声
こんな,こんな,形容动词 这样的
こんなに,こんなに,这么，这样地
こんもり,こんもり,树木繁茂，茂密；隆起，鼓起
こ女の子,おんなの,女孩
こ男の子,おとこの,男孩
ご~できる,,自谦
ごく,ごく,名词 极，最，非常
ごしごし,ごしごし,使劲地（搓、擦）
ごそごそ,ごそごそ,嘎吱嘎吱作响
ごたごた,ごたごた,混乱，乱七八糟
ごたごた,ごたごた,纠纷，争执；乱七八糟
ごちそう,ごちそう,名词 饭菜，好吃的饭菜
ごちそうさま［でした］。,,谢谢你的款待。（用于饮食后）
ごちゃごちゃ,ごちゃごちゃ,乱七八糟，凌乱，杂乱无章
ごはん,ごはん,餐，米饭
ごぶさたする,ごぶさたする,惯用语 好久不见，久疏问候
ごまかす,ごまかす,欺骗；掩盖，敷衍；弄虚作假
ごみ,ごみ,垃圾
ごみ捨て場,ごみすてば,名词 垃圾站，垃圾场
ごみ箱,ごみばこ,名 垃圾箱
ごめんください,ごめんください,惯用语 再见
ごめんなさい,ごめんなさい,惯用语 不好意思
ごろごろ,ごろごろ,无所事事
ごろごろ,ごろごろ,闲着没事；咕噜咕噜滚动；到处都是；轰隆声
ご主人,ごしゅじん,（他人的）丈夫
ご存じです,ごぞんじです,熟语 （尊他）知道
ご無沙汰,ごぶさた,久未问候，久未拜访
ご自愛,ごじあい,名词 保重，自己珍重
ご苦労様です,ごくろうさまです,惯用语 你辛苦了，给你添麻烦了
ご覧,ごらん,（尊他语）看，观赏
ご覧になります,ごらんになります,动1 （尊他）看，读
ご飯,ごはん,名 饭
ご馳走,ごちそう,酒席；款待
さあ,さあ,好啦（提议做某事时用）
さかのぼる,さかのぼる,动1 追溯，上溯
さきおととい,さきおととい,大前天
ささやか,ささやか,细小的；简单的，微薄的
ささやく,ささやく,小声说话，窃窃私语
さすが,さすが,不愧是
さぞ,さぞ,想必；一定是
さぞかし,さぞかし,想必，一定
さっき,さっき,刚才
さっさと,さっさと,副词 赶快地，麻利，快速，赶紧
さっと,さっと,副词 很快，一下子；忽然，骤然
さっと,さっと,突然，忽然，一下子
さっぱり,さっぱり,副词 清爽；整洁，利落
さて,さて,连接词 那么
さては,さては,还有，再加上；这样说来；原来是
さほど,さほど,（后接否定）那么，那样
さまざま,さまざま,形容动词 各式各样，形形色色
さまよう,さまよう,彷徨，徘徊；犹豫不决
さも,さも,非常，很；好像
さもないと,さもないと,不然的话，否则
さらさら,さらさら,潺潺，沙沙
さらりと,さらりと,光滑；干爽；痛快直接地说；爽快
さんざん,さんざん,狠狠地；深深地；凄惨，狼狈
さ来週,さらいしゅう,名 下下个星期
ざあざあ,ざあざあ,哗啦哗啦
ざっと,ざっと,副词 粗略地；一下子，很快；（流水声）哗啦
ざらざら,ざらざら,粗糙，不光滑
ざらざら,ざらざら,粗糙，不光滑；哗啦哗啦声
しあさって,しあさって,大后天
しいんと,しいんと,静悄悄地，鸦雀无声
しかし,しかし,可是，不过
しかたがありません。,,没办法
しかたがない,しかたがない,没办法的，不得已的
しかも,しかも,而且，并且
しかるべき,しかるべき,适当的，应有的，应当的
しがみつく,しがみつく,紧紧抱住；抓住不放手
しきたり,しきたり,惯例，常规
しくしく,しくしく,抽抽搭搭地哭泣；（牙或肚子）不剧烈的疼痛
しくじる,しくじる,失败；被解雇
したがって,したがって,接续词 因此，所以
しっかり,しっかり,健壮，结实；可靠；扎实，充分
しっくり,しっくり,合适，吻合；融洽，对劲儿
しっとり,しっとり,潮湿，湿润；恬静，安详
しっぽり,しっぽり,湿漉漉，湿淋淋；亲密无间，情意绵绵
しつける,しつける,教育，培养；训练（动物）
しつこい,しつこい,（气味）浓厚的，腻人的；执拗的，纠缠不休的
しでかす,しでかす,做出，干出（不像话的事）
しとしと,しとしと,淅淅沥沥
しとしと,しとしと,（雨）淅淅沥沥
しどろもどろ,しどろもどろ,乱七八糟的，语无伦次的
しなやか,しなやか,柔软的；柔和的，优美的
しなやか,しなやか,柔软的；柔和的，优美的
しばし,しばし,暂时，不久
しばしば,しばしば,副词 经常，每每，常常
しばらく,しばらく,暂时，暂且
しぶしぶ,しぶしぶ,勉勉强强；很不高兴
しぶとい,しぶとい,顽固的；顽强的
します,します,做
しみじみ,しみじみ,深切地；恳切地；仔细地
しゃがむ,しゃがむ,蹲下
しゃっくり,しゃっくり,打嗝儿
しゃぶやぶ,しゃぶやぶ,名词 涮锅，涮（牛羊肉片）火锅
しゃべる,しゃべる,说，讲；喋喋不休
しゃもじ,しゃもじ,勺子，饭勺
しょうがない,しょうがない,惯用语 不得了，无法，无奈，无可奈何
しょうがない,しょうがない,没有办法的
しょっちゅう,しょっちゅう,经常，总是
しょっぱい,しょっぱい,咸的
しょっぱい,しょっぱい,咸的；小气的；为难的
しょんぼり,しょんぼり,副词 垂头丧气，无精打采
しわ寄せ,しわよせ,不良影响的后果；不良影响波及
しんと,しんと,平静下来，鸦雀无声
しんどい,しんどい,费力的；疲惫的
しんみり,しんみり,心平气和；沉静，寂静
じっくり,じっくり,慢慢地，仔细地，不慌不忙地，踏踏实实地
じっと,じっと,一动不动；聚精会神地（听、看等）
じめじめ,じめじめ,潮湿，湿润
じめじめ,じめじめ,潮湿，湿润；阴郁，忧郁
じゃんけん,じゃんけん,猜拳，划拳
じゃんじゃん,じゃんじゃん,连续不断地，一个劲儿地；（钟）当当响
じれったい,じれったい,形容词 令人焦急，惹人着急
じろじろ,じろじろ,目不转睛地看，注视
すかさず,すかさず,立刻，马上
すかすか,すかすか,顺利地；空荡荡，空隙很多
すきずき（好き好き）,,不同的爱好
すきやき,すきやき,日式牛肉火锅
すき焼き,すきやき,鸡素烧（牛肉和蔬菜的火锅）
すくすく,すくすく,茁壮成长貌
すくすく,すくすく,茁壮成长，长得很快
すぐ,すぐ,立刻，马上
すごい,すごい,了不起的；厉害的
すし詰め,すしづめ,拥挤不堪
すし飯,すしめし,名词 （做寿司用的）甜酸饭
すすめる,すすめる,动2 劝，劝告，推荐
すする,すする,小口喝，啜饮
すたすた,すたすた,急忙，匆忙，飞快
すだれ,すだれ,名词 帘子，竹帘
すっかり,すっかり,"副词 完全,彻底"
すっきり,すっきり,副词 爽气，舒畅，畅快；流畅，齐整，整洁
すっと,すっと,动作轻快；身心舒畅，痛快
すっぱい,すっぱい,酸的
すっぱり,すっぱり,干脆利落地切断；彻底（断绝），干脆
すてき［な］,,很好〔的〕，很棒〔的〕
すでに,すでに,副词 已经，业已
すなわち,すなわち,换言之，也就是；正是，即是
すばしこい,すばしこい,敏捷的，灵活的
すべすべ,すべすべ,光滑，滑溜溜
すまない,すまない,对不起，抱歉
すみずみ(隅々）,,各个角落
すみません。,,很抱歉。
すやすや,すやすや,安静地，香甜地
すらすら,すらすら,流畅，流利
すらすら,すらすら,流畅，流利，顺利
すらりと,すらりと,身材苗条；快速地，嗖地一下；顺利地
すり,すり,小偷
すり替える,すりかえる,顶替，偷换，调包
すると,すると,接续词 于是，接着
すれすれ,すれすれ,擦过，掠过；逼近；勉勉强强，好不容易才
すんなり,すんなり,苗条，纤细；容易，不费力
ずうずうしい,ずうずうしい,形容词 厚脸皮，无耻，厚颜无耻
ずきずき,ずきずき,跳痛，一跳一跳地疼
ずっと,ずっと,比……得多；一直
ずばり,ずばり,（一刀）锋利切下；击中要害，一语道破
ずば抜ける,ずばぬける,出众，出类拔萃
ずぶぬれ,ずぶぬれ,全身湿透
ずらす,ずらす,挪动（位置）；错开（时间）
ずらっと/ずらりと,,排成一长排
ずらりと,ずらりと,副词 一大排，成排地
ずるい,ずるい,形容词 狡猾，奸诈
ずるずる,ずるずる,拖延，拖拉
ずれ,ずれ,分歧，差异，不一致，偏差
ずれる,ずれる,动2 错位，错开，移动；背离，偏离
ずれる,ずれる,移动，离开；偏离
せいぜい,せいぜい,副词 最多，充其量；尽量，尽可能
